team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,month,quarter_Quarter1,quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_finishing,department_finishing ,department_sweing,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,actual_productivity
11,0.8,2.9,,960,0,0.0,0,0,8.0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.755208333
12,0.8,11.61,1216.0,6975,50,0.0,0,0,31.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.800030199
1,0.8,22.52,1546.0,0,88,0.0,0,0,57.0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.90047076
2,0.75,3.94,,960,0,0.0,0,0,8.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.755166667
12,0.8,15.26,970.0,4080,63,0.0,0,0,34.0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.8004019609999999
6,0.7,2.9,,960,0,0.0,0,0,8.0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.49541666700000003
1,0.65,3.94,,2400,0,0.0,0,0,8.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.505128205
6,0.75,18.79,759.0,3960,34,0.0,0,0,33.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.75065101
3,0.7,22.52,1095.0,10170,50,0.0,0,0,56.5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0.750062751
11,0.75,11.61,698.0,3360,34,0.0,0,2,57.0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.7504372690000001
4,0.8,3.94,,4440,0,0.0,0,0,18.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.966781346
10,0.75,21.82,1499.0,6000,34,0.0,0,0,50.0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.7506079999999999
12,0.75,4.08,,1080,0,0.0,0,0,9.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.7555555559999999
2,0.6,15.28,529.0,1320,0,0.0,0,1,46.0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.600099145
9,0.8,3.94,,960,0,0.0,0,0,8.0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.6074166670000001
1,0.8,3.94,,960,0,0.0,0,0,8.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.915229167
3,0.75,3.94,,1440,0,0.0,0,0,12.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.861875
8,0.8,2.9,,1440,0,0.0,0,0,8.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.735984848
2,0.7,30.33,361.0,3960,30,0.0,0,1,58.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.700069811
2,0.8,3.94,,2160,0,0.0,0,0,18.0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.8755555559999999
6,0.75,18.79,913.0,3360,45,0.0,0,0,33.0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.75065101
12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8005704920000001
3,0.8,22.52,21266.0,6840,70,0.0,0,0,57.0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.90014152
6,0.5,2.9,,1200,0,0.0,0,0,10.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.899
12,0.7,15.26,1337.0,6120,40,0.0,0,0,34.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.70043672
5,0.75,20.4,1118.0,10320,56,0.0,0,0,58.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.750031447
12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8002467529999999
11,0.8,11.61,816.0,2820,50,0.0,0,2,57.0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.800516667
11,0.8,2.9,,960,0,0.0,0,0,8.0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.758229167
8,0.7,29.12,1248.0,6840,0,0.0,0,0,57.0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.700135088
3,0.8,4.6,,10500,0,0.0,0,0,25.0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.936355556
2,0.8,3.94,,2160,0,0.0,0,0,18.0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.966759259
2,0.8,3.94,,1200,0,0.0,0,0,10.0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.912766667
8,0.8,25.9,1039.0,6780,45,0.0,0,0,56.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8503451329999999
3,0.8,4.6,,10080,0,0.0,0,0,24.0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0.86037037
10,0.7,21.82,1653.0,6240,0,0.0,0,2,52.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.700058333
11,0.7,11.41,1054.0,3420,30,0.0,0,2,56.0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.700614035
12,0.8,4.08,,1080,0,0.0,0,0,9.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.906666667
3,0.8,4.6,,1920,0,0.0,0,0,8.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.786631944
12,0.8,4.08,,1080,0,0.0,0,0,9.0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.778222222
11,0.65,20.1,1417.0,6480,49,0.0,0,0,54.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.650148148
1,0.5,26.66,1448.0,6840,30,0.0,0,2,57.0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0.5503497079999999
5,0.7,45.67,884.0,6960,26,0.0,0,0,58.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.603432184
7,0.07,24.26,1608.0,6960,0,0.0,0,0,58.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.522844828
12,0.8,5.13,,2160,0,0.0,0,0,9.0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.609583333
11,0.7,20.1,1192.0,6120,75,0.0,0,0,54.0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7005089290000001
10,0.8,3.94,,1200,0,0.0,0,0,10.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.971866667
7,0.5,4.15,,960,0,0.0,0,0,8.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.8035416670000001
8,0.8,25.9,1218.0,10170,60,0.0,0,0,56.5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.850136766
6,0.65,23.41,1262.0,4560,35,0.0,0,1,38.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.650962281
4,0.75,30.1,919.0,7140,0,0.0,0,1,59.5,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.598627451
4,0.7,26.82,1028.0,6960,60,0.0,0,0,58.0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.799975862
12,0.8,11.61,893.0,4710,50,0.0,0,0,31.5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.800346445
11,0.5,14.89,917.0,9900,30,0.0,0,0,55.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.500025069
11,0.6,2.9,,2880,0,0.0,0,0,12.0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0.805555556
8,0.75,4.6,,3360,0,0.0,0,0,8.0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.376597222
6,0.75,2.9,,1800,0,0.0,0,0,15.0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.726933333
7,0.35,30.1,842.0,6960,0,0.0,0,1,58.0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.350301724
4,0.75,22.52,825.0,10080,94,0.0,0,0,56.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.9005562770000001
2,0.75,3.94,,1200,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.7879999999999999
7,0.7,5.13,,1200,0,0.0,0,0,10.0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.91375
9,0.75,18.79,1193.0,6240,45,0.0,0,0,52.0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.750395513
4,0.8,28.08,759.0,6900,50,0.0,0,0,57.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.800076522
9,0.75,2.9,,960,0,0.0,0,0,8.0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.44708333299999997
5,0.65,30.1,326.0,5820,0,90.0,10,0,58.5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6508348079999999
9,0.7,29.12,1340.0,6960,63,0.0,0,0,58.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.7505931029999999
5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.7070459020000001
1,0.75,3.94,,1200,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0.77815
7,0.6,3.94,,6000,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.957638889
10,0.7,2.9,,3360,0,0.0,0,0,8.0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.41083333299999997
2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.753097531
2,0.8,22.52,1452.0,6960,100,0.0,0,0,58.0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.9499816090000001
5,0.8,30.1,15.0,1200,49,0.0,0,1,59.0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.598792339
11,0.7,10.05,1042.0,6120,60,0.0,0,0,53.0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.7002788459999999
2,0.75,3.94,,1800,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.9103787879999999
4,0.8,30.1,864.0,480,50,0.0,0,1,58.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.800980392
8,0.8,4.6,,3600,0,0.0,0,0,15.0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5907407410000001
10,0.8,3.94,,960,0,0.0,0,0,8.0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.9275416670000001
8,0.8,2.9,,1440,0,0.0,0,0,8.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.681060606
12,0.8,15.26,1083.0,720,38,0.0,0,0,34.0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.800612676
11,0.65,4.15,,2160,0,0.0,0,0,12.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.8383838379999999
12,0.8,15.26,986.0,4080,75,0.0,0,0,34.0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.850520588
7,0.6,30.48,1017.0,6840,25,0.0,0,1,57.0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.630402924
12,0.8,4.6,,3780,0,0.0,0,0,9.0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.590617284
4,0.7,30.1,419.0,7080,0,0.0,0,1,59.0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.637711864
1,0.75,3.94,,2280,0,0.0,0,0,19.0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.504596491
9,0.8,3.94,,960,0,0.0,0,0,8.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.549791667
10,0.7,19.68,1410.0,5760,0,0.0,0,1,48.0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.24941666699999998
3,0.35,30.1,770.0,6960,0,0.0,0,1,58.0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.350301724
8,0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.850136766
2,0.6,30.33,868.0,6840,0,0.0,0,1,57.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.328131579
10,0.8,22.52,1388.0,6720,88,0.0,0,0,56.0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.9008
10,0.75,3.94,,1800,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.937242424
9,0.75,2.9,,1080,0,0.0,0,0,9.0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.9290740740000001
12,0.8,11.61,1216.0,4950,50,0.0,0,0,31.5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.80003139
8,0.65,29.4,962.0,4560,0,4.5,30,2,57.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.25139925399999996
6,0.65,18.79,881.0,3960,26,0.0,0,0,33.0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.651007071
9,0.8,26.16,1156.0,10620,75,0.0,0,0,59.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.850502311
9,0.8,26.16,1095.0,10620,88,0.0,0,0,59.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.9002157159999999
5,0.8,30.1,679.0,7140,0,0.0,0,0,59.5,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.722568627
4,0.65,26.66,832.0,6780,55,0.0,0,0,57.0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.750254867
3,0.75,4.15,,2160,0,0.0,0,0,12.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.712626263
6,0.75,18.79,1055.0,3960,45,0.0,0,0,33.0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.75065101
9,0.75,18.79,935.0,6240,45,0.0,0,0,52.0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.750395513
8,0.8,2.9,,1440,0,0.0,0,0,8.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.639867424
3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.690182815
8,0.75,2.9,,960,0,0.0,0,0,8.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.676666667
3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.75024303
10,0.75,28.08,1066.0,10530,69,0.0,0,0,58.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.8
5,0.7,4.6,,960,0,0.0,0,0,8.0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.5920833329999999
4,0.8,22.52,1016.0,10170,60,0.0,0,0,56.5,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.850312684
6,0.5,2.9,,960,0,0.0,0,0,8.0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0.7975
9,0.7,18.79,1603.0,6120,30,0.0,0,1,51.0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.638614379
7,0.65,23.54,830.0,6600,0,0.0,0,0,55.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.48791999999999996
1,0.75,3.94,,1200,0,0.0,0,0,10.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.9456
6,0.75,2.9,,3360,0,0.0,0,0,8.0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.271875
6,0.75,18.79,708.0,4080,0,0.0,0,0,34.0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.612517157
6,0.8,2.9,,4800,0,0.0,0,0,8.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.626822917
10,0.7,2.9,,3360,0,0.0,0,0,8.0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6645833329999999
